Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
172333,-0.736820375006585,0.583340193937871,-0.554782140315271,-0.528173579431517,1.21373786296872,-0.772869163766999,1.1519832271171,-0.418058034211154,0.57031169363178,-0.0556867678710502,-0.676527325544141,-0.554279290647498,-0.517136479375718,-1.35315826291172,0.00314865851492365,0.216468955612895,0.222588038169613,-0.260111179369226,-0.180498159526432,-0.166673882410317,-0.495912896001073,-0.76326429334869,0.448523059054468,0.394410320802448,-0.413398656004959,0.0268803805822304,-0.738502904414057,-0.608394877869661,21.99,0
172333,-0.772798647755434,1.56548302798363,-1.67662963732795,-0.858090196652541,0.777245548847718,-0.0373141035861055,0.14448100853521,0.963797742191341,-0.368072251301432,-0.805351194988254,-0.209080812729865,0.515551575812752,0.154448665760089,-0.305322033388123,-0.912265590330102,1.06654397910861,0.0671666494759686,0.68953590457585,0.414535770226743,-0.0376510977766232,-0.308379035742113,-0.969788007886432,0.0610008801201026,-0.519625563115293,-0.218551546797309,0.169273856155865,0.0901926720825372,-0.0222531162683815,17.48,0
172334,1.81157814528944,-0.649292155064642,-0.437331021568375,0.440672188811065,-0.593298959917097,0.0192005021207796,-0.613659509617361,0.195107493235207,0.909298204421912,0.190440043902099,0.730193039850544,0.568335402458443,-0.87954108983773,0.300090265316227,-0.0381763006710628,0.691335483057231,-0.754368466219451,0.293737139040356,0.103768711359925,-0.0789623189023221,-0.123806938725364,-0.522065371416884,0.384595679550983,0.719076975844999,-0.648395085834513,-0.0822490721637872,-0.0405219240144196,-0.0303062438947128,79.99,0
172335,-1.41815701802059,0.38355618362075,1.55781292563103,-0.516903650229706,0.885050215836457,-0.677703593597217,0.770006649453749,-0.149234994483449,0.115952243864027,-0.1492092051392,-0.531661840275146,-0.167667510561729,-0.276504685193878,-0.240883283428581,0.19579459764859,-0.219806892506757,-0.345241297482919,-0.423062680217154,-0.304845511882621,0.352563642313081,-0.129456680548954,-0.0953291530092423,-0.259504715313152,1.10455019918437,0.660492826486294,0.304922063260636,0.147242702492434,0.0566134138817919,38.9,0
172339,-0.344858803148793,0.955002038574682,-0.222724946961118,-0.716891783515521,0.190124562474311,-0.663748006030575,0.550247177471296,0.42595351985923,-0.340032717453878,-0.457401761695127,0.206919808848769,0.467104421557977,-0.724502646363908,0.760804738423775,-1.03376485854566,0.358027315439106,-0.564342263566645,-0.00919050878275551,0.322213197455471,-0.137473463265138,-0.185972914486257,-0.593196719332435,0.123666910829717,-0.367017453244095,-0.471358371404056,0.145122580101712,0.10648240317969,0.020676371402231,21.26,0
172340,2.00765805183554,-0.171016631459463,-0.775653148301093,0.222038348355389,-0.375984541281825,-1.13064602569962,-0.0292927721487009,-0.227953474073428,0.585735698851194,0.0786276728729872,-0.513398626279796,0.191622869238771,-0.213797715567783,0.408993549574597,0.933694421259796,0.38730710630272,-0.495780240371404,-0.85710467526902,-0.0556943463808677,-0.193417948931367,-0.446692222834754,-1.34592916397581,0.549699259634271,-0.0726300152757331,-0.754392336669592,0.0230541815048183,-0.0696983036273736,-0.0464271616918646,20.56,0
172340,-0.170307819989753,1.08810023897252,-0.816299972138925,-0.282051977154058,0.278317473002173,-1.31434919913823,0.45345564932603,0.218018309325664,0.25176045955737,-1.48800219404979,-0.99389688095966,-0.240327143254057,-0.67053431490955,-1.51044713087431,-1.05251652989996,0.457651076538309,1.1625208448166,0.31511522665779,-0.766641764649455,-0.368088393896218,0.0655904677312761,0.203333674570629,-0.155007617950911,-0.0501622181892217,0.0319588288932121,0.508626748800556,-0.338526714642778,-0.133545047324152,1,0
172340,-2.59906300599473,2.05489803553404,0.882435213685982,4.18801541250704,-0.268476333960446,0.508527060566877,0.313562784566106,0.183998115273073,0.0121514871748536,4.09180250719298,-0.932231416374892,-0.648178305811841,0.196903298016691,-0.603793528549284,1.05773899063669,0.0939125718823936,-0.0910916044888449,-0.0729888384064914,1.003744396254,0.973688083149808,-0.602235501658221,-0.603348598924749,0.173852208060211,-0.101251772969046,-0.446651885043328,0.0590438471471294,1.11722983499446,1.47461615298422,69.78,0
172342,1.83066607370647,-0.957714257489178,0.0365285552934828,0.602433218717516,-0.856576693567401,1.00853247318145,-1.28590235833578,0.517216975748602,1.85863311747439,0.00196395105961372,-0.227074240618851,0.52862238422386,-1.24952476080518,-0.382562961558252,-1.20298032660853,0.372609644446185,-0.439150892923653,0.504145531741341,0.424223831205851,-0.173197979079462,-0.0296908752036901,0.0887406987628633,0.23599365976751,0.291934399184286,-0.462260073697134,0.207392817489369,0.00961420257956705,-0.0381164499946127,49,0
172343,2.02702770176411,0.442592572610929,-2.50769013518868,0.599296698917912,0.633532573481371,-1.33382412802682,0.184361856213898,-0.175236992579208,0.453811644476747,-0.994291318300996,1.40297828231975,-0.292249342117062,-1.26161552590812,-2.11567829347928,0.526140950319903,1.11765699561524,1.4720601988784,2.0186598614086,-0.280249508588753,-0.210032321282573,0.114220088886149,0.43950483606349,-0.0849482782979531,-0.583606522752369,0.229537854944482,-0.0962153989620755,0.00796277717184793,-0.0081787863789569,1,0
